OrderID,ProductID,OrderDetailUnitPrice,Quantity,Discount,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,ShippedDateMissing,ProductName,CategoryID,ProductUnitPrice,CategoryName,CustomerCompany,Country,ShipperID,ShipperCompany,Revenue,DeliveryDays,OrderMonth
10248,11,14.0,12,0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Unknown,51100,France,False,Queso Cabrales,4,21.0,Dairy Products,Vins et alcools Chevalier,France,3,Federal Shipping,168.0,12.0,1996-07
10248,42,9.8,10,0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Unknown,51100,France,False,Singaporean Hokkien Fried Mee,5,14.0,Grains/Cereals,Vins et alcools Chevalier,France,3,Federal Shipping,98.0,12.0,1996-07
10248,72,34.8,5,0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Unknown,51100,France,False,Mozzarella di Giovanni,4,34.8,Dairy Products,Vins et alcools Chevalier,France,3,Federal Shipping,174.0,12.0,1996-07
10249,14,18.6,9,0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitten,Luisenstr. 48,Mnster,Unknown,44087,Germany,False,Tofu,7,23.25,Produce,Toms Spezialitten,Germany,1,Speedy Express,167.4,5.0,1996-07
10249,51,42.4,40,0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitten,Luisenstr. 48,Mnster,Unknown,44087,Germany,False,Manjimup Dried Apples,7,53.0,Produce,Toms Spezialitten,Germany,1,Speedy Express,1696.0,5.0,1996-07
10250,41,7.7,10,0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Pao, 67",Rio de Janeiro,RJ,05454-876,Brazil,False,Jack's New England Clam Chowder,8,9.65,Seafood,Hanari Carnes,Brazil,2,United Package,77.0,4.0,1996-07
10250,51,42.4,35,0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Pao, 67",Rio de Janeiro,RJ,05454-876,Brazil,False,Manjimup Dried Apples,7,53.0,Produce,Hanari Carnes,Brazil,2,United Package,1484.0,4.0,1996-07
10250,65,16.8,15,0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Pao, 67",Rio de Janeiro,RJ,05454-876,Brazil,False,Louisiana Fiery Hot Pepper Sauce,2,21.05,Condiments,Hanari Carnes,Brazil,2,United Package,252.0,4.0,1996-07
10251,22,16.8,6,0,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,Unknown,69004,France,False,Gustaf's Knckebrd,5,21.0,Grains/Cereals,Victuailles en stock,France,1,Speedy Express,100.80000000000001,7.0,1996-07
10251,57,15.6,15,0,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,Unknown,69004,France,False,Ravioli Angelo,5,19.5,Grains/Cereals,Victuailles en stock,France,1,Speedy Express,234.0,7.0,1996-07
